Ingreso mediano (decenas de miles de USD),Regresión lineal,Regresión polinomial (grado 2),Regresión log-lineal,Árbol de decisión
1.066898,0.9178024698028955,0.41432915754966304,1.098765560922327,1.450416666666667
1.1050907871485942,0.9349386151266734,0.44160956127819273,1.1090543445519474,1.450416666666667
1.1432835742971885,0.9520747604504507,0.46879967433128744,1.1193935669111466,1.450416666666667
1.1814763614457828,0.9692109057742284,0.49589949670894806,1.129783475265834,1.450416666666667
1.2196691485943771,0.9863470510980057,0.5229090284111739,1.1402243180940919,1.450416666666667
1.2578619357429717,1.0034831964217834,0.5498282694379657,1.1507163450921167,1.450416666666667
1.296054722891566,1.020619341745561,0.5766572197893232,1.1612598071801905,1.450416666666667
1.3342475100401603,1.0377554870693386,0.6033958794652456,1.171854956508684,1.450416666666667
1.3724402971887546,1.0548916323931161,0.6300442484657343,1.1825020464640845,1.450416666666667
1.410633084337349,1.0720277777168934,0.6566023267907874,1.1932013316750556,1.450416666666667
1.4488258714859432,1.0891639230406711,0.683070114440407,1.2039530680185293,1.450416666666667
1.4870186586345375,1.1063000683644486,0.709447611414592,1.2147575126258223,1.450416666666667
1.5252114457831318,1.123436213688226,0.7357348177133423,1.2256149238887883,1.450416666666667
1.5634042329317261,1.1405723590120038,0.7619317333366582,1.2365255614659945,1.450416666666667
1.6015970200803205,1.157708504335781,0.7880383582845396,1.2474896862889335,1.450416666666667
1.6397898072289148,1.1748446496595586,0.8140546925569865,1.2585075605682632,1.450416666666667
1.677982594377509,1.191980794983336,0.8399807361539993,1.2695794478000777,1.450416666666667
1.7161753815261034,1.2091169403071138,0.8658164890755777,1.2807056127722083,1.450416666666667
1.7543681686746977,1.2262530856308913,0.891561951321721,1.2918863215705558,1.450416666666667
1.7925609558232922,1.2433892309546688,0.9172171228924302,1.3031218415854555,1.450416666666667
1.8307537429718865,1.2605253762784465,0.9427820037877053,1.3144124415180714,1.450416666666667
1.8689465301204808,1.2776615216022238,0.968256594007545,1.3257583913868194,1.450416666666667
1.9071393172690752,1.2947976669260015,0.993640893551951,1.3371599625338302,1.450416666666667
1.9453321044176695,1.311933812249779,1.0189349024209222,1.348617427631435,1.450416666666667
1.9835248915662638,1.3290699575735565,1.0441386206144592,1.3601310606886856,1.450416666666667
2.0217176787148583,1.3462061028973342,1.0692520481325616,1.371701137057911,1.450416666666667
2.0599104658634526,1.3633422482211117,1.0942751849752297,1.3833279334412998,1.450416666666667
2.098103253012047,1.3804783935448892,1.1192080311424633,1.395011727897519,1.450416666666667
2.1362960401606412,1.3976145388686667,1.144050586634262,1.4067527998483618,1.450416666666667
2.1744888273092355,1.4147506841924442,1.1688028514506268,1.418551430085433,1.450416666666667
2.21268161445783,1.4318868295162217,1.193464825591557,1.4304079007768622,1.450416666666667
2.250874401606424,1.4490229748399992,1.2180365090570526,1.4423224954740537,1.450416666666667
2.2890671887550185,1.466159120163777,1.2425179018471137,1.4542954991184645,1.450416666666667
2.3272599759036128,1.4832952654875542,1.2669090039617408,1.4663271980484214,1.450416666666667
2.365452763052207,1.500431410811332,1.2912098154009328,1.4784178800059697,1.450416666666667
2.4036455502008014,1.5175675561351094,1.3154203361646906,1.4905678341437518,1.450416666666667
2.4418383373493957,1.534703701458887,1.3395405662530142,1.502777351031925,2.0373124999999996
2.48003112449799,1.5518398467826644,1.363570505665903,1.5150467226651076,2.0373124999999996
2.5182239116465848,1.5689759921064421,1.3875101544033577,1.5273762424693658,2.0373124999999996
2.5564166987951786,1.5861121374302194,1.4113595124653773,1.5397662053092276,2.0373124999999996
2.5946094859437734,1.6032482827539973,1.435118579851963,1.5522169074947372,2.0373124999999996
2.6328022730923673,1.6203844280777746,1.458787356563114,1.5647286467885397,2.0373124999999996
