dataset,particion_entrenamiento_prueba,familia,parametro,etiqueta_parametro,accuracy_entrenamiento,accuracy_prueba,accuracy_cv_entrenamiento_media,accuracy_cv_validacion_media,accuracy_cv_validacion_desviacion
Breast Cancer Wisconsin,40/60,K-NN,1,k=1,1.0,0.9473684210526315,1.0,0.9558454106280193,0.027318402760921456
Breast Cancer Wisconsin,40/60,K-NN,3,k=3,0.986784140969163,0.956140350877193,0.9845850282314371,0.9735265700483092,0.018651973092920986
Breast Cancer Wisconsin,40/60,K-NN,5,k=5,0.9911894273127754,0.956140350877193,0.982375083480056,0.9735265700483092,0.018651973092920986
Breast Cancer Wisconsin,40/60,K-NN,7,k=7,0.973568281938326,0.9532163742690059,0.972460688482788,0.9604830917874396,0.023907919228455404
Breast Cancer Wisconsin,40/60,K-NN,11,k=11,0.9691629955947136,0.9415204678362573,0.9768745067087607,0.9603864734299516,0.028720609196381298
Breast Cancer Wisconsin,40/60,K-NN,15,k=15,0.973568281938326,0.935672514619883,0.9746706332341691,0.9603864734299516,0.028720609196381298
Breast Cancer Wisconsin,40/60,K-NN,21,k=21,0.973568281938326,0.9269005847953217,0.9669540404347033,0.956038647342995,0.041128109475928064
Breast Cancer Wisconsin,40/60,K-NN,31,k=31,0.9691629955947136,0.9269005847953217,0.96143524983304,0.9517874396135266,0.05196594802387359
Breast Cancer Wisconsin,40/60,K-NN,41,k=41,0.9647577092511013,0.9210526315789473,0.9449335195191549,0.9428985507246377,0.06884896974044362
Breast Cancer Wisconsin,40/60,K-NN,51,k=51,0.947136563876652,0.9210526315789473,0.9328152510472953,0.9252173913043478,0.06307576865690248
Breast Cancer Wisconsin,40/60,Árbol de decisión,1,1,0.9427312775330396,0.9005847953216374,0.9460263493412665,0.9073429951690821,0.024841442157757476
Breast Cancer Wisconsin,40/60,Árbol de decisión,2,2,0.9823788546255506,0.9181286549707602,0.9856839293303381,0.9514975845410628,0.01842917606841951
Breast Cancer Wisconsin,40/60,Árbol de decisión,3,3,0.9955947136563876,0.9181286549707602,0.9944933519519156,0.9514009661835748,0.03277128903837211
Breast Cancer Wisconsin,40/60,Árbol de decisión,5,5,1.0,0.9122807017543859,1.0,0.9558454106280193,0.027318402760921456
Breast Cancer Wisconsin,40/60,Árbol de decisión,8,8,1.0,0.9122807017543859,1.0,0.9558454106280193,0.027318402760921456
Breast Cancer Wisconsin,40/60,Árbol de decisión,none,Sin límite,1.0,0.9122807017543859,1.0,0.9558454106280193,0.027318402760921456
