learning_rate,epoca,costo_entrenamiento
0.001,1,1.0386392485840081
0.001,2,1.0115575585406875
0.001,3,0.985555476243161
0.001,4,0.9600001478882846
0.001,5,0.9357853562235671
0.001,6,0.9122476353059752
0.001,7,0.8894252404143448
0.001,8,0.8661321541481913
0.001,9,0.8441193588363188
0.001,10,0.8220465702268326
0.001,11,0.8009865915295779
0.001,12,0.7797487097400484
0.001,13,0.7589552033488445
0.001,14,0.7382257429334984
0.001,15,0.7184841753244985
0.001,16,0.6991404068926292
0.001,17,0.6794431647524926
0.001,18,0.6605908177989014
0.001,19,0.6418662581735396
0.001,20,0.6237351948850052
0.001,21,0.6060979318480323
0.001,22,0.5884976477705959
0.001,23,0.571507806817578
0.001,24,0.5552081664652827
0.001,25,0.5391343156537987
0.001,26,0.5234252007589525
0.001,27,0.5078661811349365
0.001,28,0.49305785014811454
0.001,29,0.47882514940704674
0.001,30,0.4647991032215981
0.001,31,0.45095325799033326
0.001,32,0.43794209447797655
0.001,33,0.42500051979307885
0.001,34,0.4128485892506422
0.001,35,0.40094218471659154
0.001,36,0.3891531617985601
0.001,37,0.3778432996034928
0.001,38,0.3671382824180954
0.001,39,0.3566654755304167
0.001,40,0.34652266090610223
0.001,41,0.33659981073561906
0.001,42,0.32710754060594455
0.001,43,0.3183900511559238
0.001,44,0.30936678546223845
0.001,45,0.3009084946528403
0.001,46,0.2927716221531742
0.001,47,0.28498714617191
0.001,48,0.27737938533457374
0.001,49,0.27004243756427226
0.001,50,0.26287928276638617
0.001,51,0.25629752591852367
0.001,52,0.2495400919558838
0.001,53,0.24319797323723577
0.001,54,0.23706663251492885
0.001,55,0.23118642276084092
0.001,56,0.2256412142248335
0.001,57,0.21990426011028924
0.001,58,0.2147554602614961
0.001,59,0.2095301913209402
0.001,60,0.2045953247894469
0.001,61,0.19980835781658926
0.001,62,0.19519510639119628
0.001,63,0.19067455889661827
0.001,64,0.1865384528327846
0.001,65,0.18215941582742576
0.001,66,0.17819963757456572
0.001,67,0.1744124075012665
0.001,68,0.1704370730109184
0.001,69,0.16684255896922742
0.001,70,0.16328463602897672
0.001,71,0.15988408759168618
0.001,72,0.1567047490455266
0.001,73,0.15331203436934907
0.001,74,0.15023567317271444
0.001,75,0.14719451792607635
0.001,76,0.14419177644936618
0.001,77,0.14151591959321952
0.001,78,0.13865177492388342
0.001,79,0.1359653257163755
0.001,80,0.13336426276889754
0.001,81,0.13089628638164688
0.001,82,0.1284202412235762
0.001,83,0.12601384577964836
0.001,84,0.12370317790766915
0.001,85,0.12146072139651368
0.001,86,0.11926343798085028
0.001,87,0.11705193145616377
0.001,88,0.11503687127390232
0.001,89,0.11301158689103429
0.001,90,0.11103473165583397
0.001,91,0.10910319800742536
0.001,92,0.1072474076209831
0.001,93,0.1054391527240976
0.001,94,0.10367300110431704
0.001,95,0.10195638907397286
0.001,96,0.10022639789447076
0.001,97,0.09862347601474146
0.001,98,0.09700643931833033
0.001,99,0.09545281354104418
0.001,100,0.09387869971279118
0.001,101,0.09242277052827434
0.001,102,0.09104043791950527
0.001,103,0.08961151911210839
0.001,104,0.0881285606661739
0.001,105,0.08675203791660868
0.001,106,0.08544596070083534
0.001,107,0.08418821192230552
0.001,108,0.08290572591192398
0.001,109,0.08170686879664893
0.001,110,0.0804846599359417
0.001,111,0.07937227974851739
0.001,112,0.07813478948375438
0.001,113,0.07704919804799769
0.001,114,0.0759120470208715
0.001,115,0.07483932033480992
0.001,116,0.07382698920470025
