particion,porcentaje_entrenamiento,porcentaje_prueba,muestras_entrenamiento,muestras_prueba,clasificador,accuracy,precision_macro,recall_macro,f1_macro,errores,confusion_setosa_setosa,confusion_setosa_versicolor,confusion_setosa_virginica,confusion_versicolor_setosa,confusion_versicolor_versicolor,confusion_versicolor_virginica,confusion_virginica_setosa,confusion_virginica_versicolor,confusion_virginica_virginica
60/40,60,40,90,60,LDA,0.9833333333333333,0.9841269841269842,0.9833333333333334,0.9833229101521784,1,20,0,0,0,20,0,0,1,19
60/40,60,40,90,60,K-NN (k=3),0.95,0.9565217391304347,0.9500000000000001,0.9497171590194845,3,20,0,0,0,20,0,0,3,17
60/40,60,40,90,60,Árbol de decisión,0.95,0.9507101086048454,0.9500000000000001,0.9499687304565354,3,20,0,0,0,19,1,0,2,18
70/30,70,30,105,45,LDA,0.9777777777777777,0.9791666666666666,0.9777777777777779,0.9777530589543938,1,15,0,0,0,15,0,0,1,14
70/30,70,30,105,45,K-NN (k=3),0.9111111111111111,0.9298245614035089,0.9111111111111111,0.9095022624434389,4,15,0,0,0,15,0,0,4,11
70/30,70,30,105,45,Árbol de decisión,0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326,3,15,0,0,0,12,3,0,0,15
80/20,80,20,120,30,LDA,1.0,1.0,1.0,1.0,0,10,0,0,0,10,0,0,0,10
80/20,80,20,120,30,K-NN (k=3),0.9333333333333333,0.9444444444444445,0.9333333333333332,0.9326599326599326,2,10,0,0,0,10,0,0,2,8
80/20,80,20,120,30,Árbol de decisión,0.9333333333333333,0.9333333333333332,0.9333333333333332,0.9333333333333332,2,10,0,0,0,9,1,0,1,9
