modelo,conjunto,learning_rate,accuracy,precision_macro,recall_macro,f1_macro,error,log_loss
anterior,entrenamiento,0.001,1.0,1.0,1.0,1.0,0.0,0.010234798995368987
anterior,prueba,0.001,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779,0.01851851851851849,0.06670094618356714
anterior,frontera_2d,0.001,0.8888888888888888,0.889748882008944,0.8994708994708995,0.8911255411255411,0.11111111111111116,0.27245480111121506
mlp,entrenamiento,0.001,1.0,1.0,1.0,1.0,0.0,0.012720554357788835
mlp,prueba,0.001,0.9814814814814815,0.9824561403508771,0.9841269841269842,0.9828609096901779,0.01851851851851849,0.0625418144616311
mlp,frontera_2d,0.001,0.9074074074074074,0.907843137254902,0.9153439153439153,0.9099448315911731,0.09259259259259256,0.31597376885403683
