modelo,learning_rate,accuracy_mean,accuracy_std,f1_mean,f1_std,train_accuracy_mean,log_loss_mean,epochs_mean,folds_at_limit
anterior,0.001,0.984,0.021908902300206663,0.9834098065677013,0.02274919226212422,1.0,0.03429508414978508,371.0,0
anterior,0.01,0.984,0.021908902300206663,0.9834098065677013,0.02274919226212422,1.0,0.030338073766894645,102.6,0
anterior,0.1,0.984,0.021908902300206663,0.9834098065677013,0.02274919226212422,1.0,0.016181972375262595,33.2,0
mlp,0.001,0.984,0.021908902300206663,0.9834098065677013,0.02274919226212422,1.0,0.04088120042003168,405.4,0
mlp,0.01,0.984,0.021908902300206663,0.9834098065677013,0.02274919226212422,1.0,0.04242781956990009,108.0,0
mlp,0.1,0.984,0.021908902300206663,0.9834098065677013,0.02274919226212422,1.0,0.06918452003087508,37.2,0
